name,alignment,corps,commander,symbol,id,parentId,size
Gunner,bluefor,Infantry,PTE Roy Hammond,/assets/nato_icons/bluefor/unit_infantry.svg,2fed6741-ebbb-4b1a-a47d-82358a418865,1074d164-683f-40bf-815d-8d2efa63b680,,
Grenadier,bluefor,Infantry,PTE Dylan Mason,/assets/nato_icons/bluefor/unit_infantry.svg,9060d13b-9b59-4868-a016-33cb01e4ec74,1074d164-683f-40bf-815d-8d2efa63b680,,
Grenadier,bluefor,Infantry,PTE Jerome McGee,/assets/nato_icons/bluefor/unit_infantry.svg,f28d8fe8-787c-403b-9960-d79cbd463f34,1074d164-683f-40bf-815d-8d2efa63b680,,
Rifleman,bluefor,Infantry,PTE Jeffery Morales,/assets/nato_icons/bluefor/unit_infantry.svg,7879f7a4-1d38-44d4-9ab9-559272d2cdd0,1074d164-683f-40bf-815d-8d2efa63b680,,
Rifleman,bluefor,Infantry,PTE Bruce McCormick,/assets/nato_icons/bluefor/unit_infantry.svg,1a472c8b-7807-4e3a-ae05-c7dbb53b3a31,1074d164-683f-40bf-815d-8d2efa63b680,,
Section Commander,bluefor,Infantry,CPL Clarence Potter,/assets/nato_icons/bluefor/unit_infantry.svg,d64664ef-543a-481f-bd2f-f5408e015423,1074d164-683f-40bf-815d-8d2efa63b680,,
1-2,bluefor,Infantry,CPL Clarence Potter,/assets/nato_icons/bluefor/unit_infantry.svg,1074d164-683f-40bf-815d-8d2efa63b680,5fe78804-98fb-4ae8-8399-3f8f77f564fa,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Warren Fox,/assets/nato_icons/bluefor/unit_infantry.svg,7ed645f8-7729-4e86-99bd-fb88185d3533,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Gunner,bluefor,Infantry,PTE Hunter Baldwin,/assets/nato_icons/bluefor/unit_infantry.svg,2cc0178d-2db0-412e-adb8-f3cc10d0aa4d,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Grenadier,bluefor,Infantry,PTE Howard McDaniel,/assets/nato_icons/bluefor/unit_infantry.svg,029c7be0-fc2a-4e4d-bcda-0ddf86c61a6a,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Grenadier,bluefor,Infantry,PTE Joshua Hale,/assets/nato_icons/bluefor/unit_infantry.svg,6bd124ee-f7ff-4156-a9a6-6386e5bfb74d,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Rifleman,bluefor,Infantry,PTE Erik Clarke,/assets/nato_icons/bluefor/unit_infantry.svg,7db3d1db-f15c-4ad2-a341-f4ab4567eb93,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Rifleman,bluefor,Infantry,PTE Eddie Mendoza,/assets/nato_icons/bluefor/unit_infantry.svg,d659d449-c2fa-45b3-a542-ffdb081b6701,9e9f15c6-be74-461d-81bb-997d64e13a78,,
Section Commander,bluefor,Infantry,CPL Kyle Miller,/assets/nato_icons/bluefor/unit_infantry.svg,22e4c63f-f374-4e0f-a585-2af7f2cfa44a,9e9f15c6-be74-461d-81bb-997d64e13a78,,
1-3,bluefor,Infantry,CPL Kyle Miller,/assets/nato_icons/bluefor/unit_infantry.svg,9e9f15c6-be74-461d-81bb-997d64e13a78,5fe78804-98fb-4ae8-8399-3f8f77f564fa,/assets/nato_icons/size/bluefor_020.svg,
1st Platoon,bluefor,Infantry,LT Mitchell Harper,/assets/nato_icons/bluefor/unit_infantry.svg,5fe78804-98fb-4ae8-8399-3f8f77f564fa,57b0ea97-5567-4566-a466-dad7881ecaeb,/assets/nato_icons/size/bluefor_030.svg,
Gunner,bluefor,Infantry,PTE Nathaniel Park,/assets/nato_icons/bluefor/unit_infantry.svg,ccc6974f-89e0-460d-bbfc-38bd2d24ebd2,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Gunner,bluefor,Infantry,PTE Aiden Klein,/assets/nato_icons/bluefor/unit_infantry.svg,2ad58907-39a0-46d5-941c-393952664562,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Grenadier,bluefor,Infantry,PTE Lloyd Gray,/assets/nato_icons/bluefor/unit_infantry.svg,8ecddf2c-ab76-49d7-8aec-1ca4dda0556f,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Grenadier,bluefor,Infantry,PTE Mason Rice,/assets/nato_icons/bluefor/unit_infantry.svg,2222a9c5-8bb6-46bf-ad71-c8e457c1500f,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Rifleman,bluefor,Infantry,PTE Curtis Murphy,/assets/nato_icons/bluefor/unit_infantry.svg,99e24f9d-84bb-437b-aa5e-2a71c4cc43ba,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Rifleman,bluefor,Infantry,PTE Lewis Hawkins,/assets/nato_icons/bluefor/unit_infantry.svg,628dcf94-190c-4c1e-b8ed-d611bd197ba6,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
Section Commander,bluefor,Infantry,CPL Ian McDaniel,/assets/nato_icons/bluefor/unit_infantry.svg,6ba9e90e-040c-4a1a-ba63-4cb1641c13e1,6200ea59-db96-4113-b41c-5f4d39f6b08f,,
1-1,bluefor,Infantry,CPL Ian McDaniel,/assets/nato_icons/bluefor/unit_infantry.svg,6200ea59-db96-4113-b41c-5f4d39f6b08f,633f563a-a493-42cf-a02e-4c7c4f9e7c85,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Jerome Powers,/assets/nato_icons/bluefor/unit_infantry.svg,71ab16d3-014c-4e4f-8f02-1474c33852ce,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Gunner,bluefor,Infantry,PTE Francisco Holmes,/assets/nato_icons/bluefor/unit_infantry.svg,06de65e5-2981-4eca-a7e2-6806a003ca19,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Grenadier,bluefor,Infantry,PTE Blake Logan,/assets/nato_icons/bluefor/unit_infantry.svg,76dd6cae-751e-43f5-9dcf-fd5396215c4b,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Grenadier,bluefor,Infantry,PTE Edwin Simmons,/assets/nato_icons/bluefor/unit_infantry.svg,be38f89b-51fb-42ed-bad5-79e42c8b314c,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Rifleman,bluefor,Infantry,PTE David Aguilar,/assets/nato_icons/bluefor/unit_infantry.svg,0e6faf40-378d-41c7-8dfe-61a3900b10f9,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Rifleman,bluefor,Infantry,PTE Vernon Andrews,/assets/nato_icons/bluefor/unit_infantry.svg,7e2fac97-1427-45b7-b021-48d830561972,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
Section Commander,bluefor,Infantry,CPL Jon Hart,/assets/nato_icons/bluefor/unit_infantry.svg,ca7da296-339f-462f-bc8c-3771dd60954e,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,,
1-2,bluefor,Infantry,CPL Jon Hart,/assets/nato_icons/bluefor/unit_infantry.svg,50a67fcc-7e9c-48d7-bf5c-d23cff52ddcb,633f563a-a493-42cf-a02e-4c7c4f9e7c85,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Carlos Warren,/assets/nato_icons/bluefor/unit_infantry.svg,425b700e-5baf-4017-b22c-6645ba6e3dec,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Gunner,bluefor,Infantry,PTE Roger Payne,/assets/nato_icons/bluefor/unit_infantry.svg,de385b72-9d0a-4e8b-aee0-3beb45de3e83,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Grenadier,bluefor,Infantry,PTE Andre Schneider,/assets/nato_icons/bluefor/unit_infantry.svg,27b0ee04-6442-4bbd-97ad-51c9fc71f801,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Grenadier,bluefor,Infantry,PTE Adam Clayton,/assets/nato_icons/bluefor/unit_infantry.svg,8c93013d-7fe4-448d-aa7f-ed717a28b45f,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Rifleman,bluefor,Infantry,PTE Daniel Hamilton,/assets/nato_icons/bluefor/unit_infantry.svg,00c42e3a-71a5-4838-8003-c3084489f800,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Rifleman,bluefor,Infantry,PTE Albert Jenkins,/assets/nato_icons/bluefor/unit_infantry.svg,10783906-259b-48c9-961d-0bc04a440c44,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
Section Commander,bluefor,Infantry,CPL Ryan Strickland,/assets/nato_icons/bluefor/unit_infantry.svg,5f27edb5-0f13-4ca3-bbba-fddd2e839a8c,01cd9447-c6c1-4b32-829a-4a257dfd89f9,,
1-3,bluefor,Infantry,CPL Ryan Strickland,/assets/nato_icons/bluefor/unit_infantry.svg,01cd9447-c6c1-4b32-829a-4a257dfd89f9,633f563a-a493-42cf-a02e-4c7c4f9e7c85,/assets/nato_icons/size/bluefor_020.svg,
2nd Platoon,bluefor,Infantry,LT Alejandro Weaver,/assets/nato_icons/bluefor/unit_infantry.svg,633f563a-a493-42cf-a02e-4c7c4f9e7c85,57b0ea97-5567-4566-a466-dad7881ecaeb,/assets/nato_icons/size/bluefor_030.svg,
Gunner,bluefor,Infantry,PTE Wayne Lynch,/assets/nato_icons/bluefor/unit_infantry.svg,6cbf62c2-b6f6-4a1f-8667-ad59e09ec068,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Gunner,bluefor,Infantry,PTE Jordan Hart,/assets/nato_icons/bluefor/unit_infantry.svg,1a495ee7-aa37-4565-a61f-bba6dcb1324a,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Grenadier,bluefor,Infantry,PTE Jerry Craig,/assets/nato_icons/bluefor/unit_infantry.svg,1f935fd8-458f-4e10-84b9-da2396f78e19,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Grenadier,bluefor,Infantry,PTE Mason Ramirez,/assets/nato_icons/bluefor/unit_infantry.svg,e8b4b86f-5f4c-46bf-992b-266445e31642,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Rifleman,bluefor,Infantry,PTE Marc Caldwell,/assets/nato_icons/bluefor/unit_infantry.svg,fa37c68e-e97a-4631-bf59-9e6c2ccf72a5,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Rifleman,bluefor,Infantry,PTE Cole Turner,/assets/nato_icons/bluefor/unit_infantry.svg,1bc2f59c-23a3-42aa-8cbb-ab929ab88686,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
Section Commander,bluefor,Infantry,CPL Aiden Swanson,/assets/nato_icons/bluefor/unit_infantry.svg,d75d1108-b41e-4ee3-96ef-0389aa047b35,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,,
1-1,bluefor,Infantry,CPL Aiden Swanson,/assets/nato_icons/bluefor/unit_infantry.svg,1c2c8e04-cdd3-4c29-9ada-3af1698ac55b,a9a10699-f96c-486c-a2c2-a3542eaa57b2,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Dennis Stevenson,/assets/nato_icons/bluefor/unit_infantry.svg,d8c6355e-97c5-49a9-b951-86b9f1438d32,99822109-533d-4fbb-9c59-b42aade2eb13,,
Gunner,bluefor,Infantry,PTE Kenneth Boyd,/assets/nato_icons/bluefor/unit_infantry.svg,ed10f0a8-e036-43ce-92e7-72bedab1130c,99822109-533d-4fbb-9c59-b42aade2eb13,,
Grenadier,bluefor,Infantry,PTE George Davis,/assets/nato_icons/bluefor/unit_infantry.svg,dcbde7d5-0edf-4b43-a657-15531b117c03,99822109-533d-4fbb-9c59-b42aade2eb13,,
Grenadier,bluefor,Infantry,PTE Chester Maxwell,/assets/nato_icons/bluefor/unit_infantry.svg,208a3891-d696-454b-9b82-2897afae1520,99822109-533d-4fbb-9c59-b42aade2eb13,,
Rifleman,bluefor,Infantry,PTE Robert Walters,/assets/nato_icons/bluefor/unit_infantry.svg,54c79bda-72c8-4a97-84db-1f9068cfcf51,99822109-533d-4fbb-9c59-b42aade2eb13,,
Rifleman,bluefor,Infantry,PTE Shane Miles,/assets/nato_icons/bluefor/unit_infantry.svg,cd6a0577-f460-422b-abdb-1098461d37a4,99822109-533d-4fbb-9c59-b42aade2eb13,,
Section Commander,bluefor,Infantry,CPL Randy Sullivan,/assets/nato_icons/bluefor/unit_infantry.svg,19815ff4-9482-4b84-8027-7631c8b81060,99822109-533d-4fbb-9c59-b42aade2eb13,,
1-2,bluefor,Infantry,CPL Randy Sullivan,/assets/nato_icons/bluefor/unit_infantry.svg,99822109-533d-4fbb-9c59-b42aade2eb13,a9a10699-f96c-486c-a2c2-a3542eaa57b2,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Herbert Weaver,/assets/nato_icons/bluefor/unit_infantry.svg,6dd22b37-abf6-4061-8b75-7d9c9a55c5fc,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Gunner,bluefor,Infantry,PTE Fred Price,/assets/nato_icons/bluefor/unit_infantry.svg,d0685b66-7dd7-4c69-a0e5-a7dfa9240d86,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Grenadier,bluefor,Infantry,PTE Phillip Edwards,/assets/nato_icons/bluefor/unit_infantry.svg,a4390008-af26-49df-871a-e094f63e4a36,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Grenadier,bluefor,Infantry,PTE Justin Sullivan,/assets/nato_icons/bluefor/unit_infantry.svg,c0fa6dbf-2916-4543-b814-e9b885608582,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Rifleman,bluefor,Infantry,PTE Howard Carson,/assets/nato_icons/bluefor/unit_infantry.svg,edd0a429-b824-4e0b-ba9e-61f1ff04a5d5,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Rifleman,bluefor,Infantry,PTE Roy Wilson,/assets/nato_icons/bluefor/unit_infantry.svg,12eb8942-419b-4f5a-91ea-b93855be325b,54ec8a38-35b1-44a7-8403-99828ea14c52,,
Section Commander,bluefor,Infantry,CPL Ronnie Brady,/assets/nato_icons/bluefor/unit_infantry.svg,820afdd5-ef46-44f8-9675-bf98063c398f,54ec8a38-35b1-44a7-8403-99828ea14c52,,
1-3,bluefor,Infantry,CPL Ronnie Brady,/assets/nato_icons/bluefor/unit_infantry.svg,54ec8a38-35b1-44a7-8403-99828ea14c52,a9a10699-f96c-486c-a2c2-a3542eaa57b2,/assets/nato_icons/size/bluefor_020.svg,
3rd Platoon,bluefor,Infantry,LT Martin Nelson,/assets/nato_icons/bluefor/unit_infantry.svg,a9a10699-f96c-486c-a2c2-a3542eaa57b2,57b0ea97-5567-4566-a466-dad7881ecaeb,/assets/nato_icons/size/bluefor_030.svg,
Officer,bluefor,Infantry,CPL Edwin Cain,/assets/nato_icons/bluefor/unit_infantry.svg,0e599b52-5dd4-4e1a-b132-6e6d7da7ed46,df36afa4-fad2-42c3-a9d5-48db111f0364,,
1-1,bluefor,Infantry,CPL Edwin Cain,/assets/nato_icons/bluefor/unit_infantry.svg,df36afa4-fad2-42c3-a9d5-48db111f0364,c4886c61-00cd-4b15-80f5-d57a08bb45ce,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL Tony Hamilton,/assets/nato_icons/bluefor/unit_infantry.svg,a249ebba-41ac-4d62-a6fb-629f65f4b20f,e4e7ac68-6806-4396-9ee8-56835c796b0a,,
1-2,bluefor,Infantry,CPL Tony Hamilton,/assets/nato_icons/bluefor/unit_infantry.svg,e4e7ac68-6806-4396-9ee8-56835c796b0a,c4886c61-00cd-4b15-80f5-d57a08bb45ce,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL Lawrence Turner,/assets/nato_icons/bluefor/unit_infantry.svg,7f7b134a-4afc-4835-9ca1-09041cb1edae,db704e4d-a9a9-472b-b2f8-62904771c4f6,,
1-3,bluefor,Infantry,CPL Lawrence Turner,/assets/nato_icons/bluefor/unit_infantry.svg,db704e4d-a9a9-472b-b2f8-62904771c4f6,c4886c61-00cd-4b15-80f5-d57a08bb45ce,/assets/nato_icons/size/bluefor_020.svg,
Ponies Company Headquarters,bluefor,Infantry,LT Ronald Jimenez,/assets/nato_icons/bluefor/unit_headquarters_unit.svg,c4886c61-00cd-4b15-80f5-d57a08bb45ce,57b0ea97-5567-4566-a466-dad7881ecaeb,/assets/nato_icons/size/bluefor_030.svg,
Ponies Company,bluefor,Infantry,MAJ Leo McCarthy,/assets/nato_icons/bluefor/unit_infantry.svg,57b0ea97-5567-4566-a466-dad7881ecaeb,55037722-c53e-464d-86a2-be99a246b687,/assets/nato_icons/size/bluefor_050.svg,
Officer,bluefor,Infantry,CPL Brandon Davis,/assets/nato_icons/bluefor/unit_infantry.svg,61afb682-a8f8-4ef5-9ef7-173cd8525dd1,9d6bbc66-ce63-49b9-9af9-78019d58ca17,,
1-1,bluefor,Infantry,CPL Brandon Davis,/assets/nato_icons/bluefor/unit_infantry.svg,9d6bbc66-ce63-49b9-9af9-78019d58ca17,09f8ee3e-d842-481e-934a-7368c3d478c5,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL Craig Cobb,/assets/nato_icons/bluefor/unit_infantry.svg,cdde5211-db0b-4ee0-a6f9-9cb378f823e8,1ad2d13c-1646-48ff-89f9-a7c3413fdd9c,,
1-2,bluefor,Infantry,CPL Craig Cobb,/assets/nato_icons/bluefor/unit_infantry.svg,1ad2d13c-1646-48ff-89f9-a7c3413fdd9c,09f8ee3e-d842-481e-934a-7368c3d478c5,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL Jon Bishop,/assets/nato_icons/bluefor/unit_infantry.svg,44ea27fb-b4af-469d-af95-a8b9bfd7e91f,57076b94-7d84-44a4-ae11-60da8354b742,,
1-3,bluefor,Infantry,CPL Jon Bishop,/assets/nato_icons/bluefor/unit_infantry.svg,57076b94-7d84-44a4-ae11-60da8354b742,09f8ee3e-d842-481e-934a-7368c3d478c5,/assets/nato_icons/size/bluefor_020.svg,
Recon Platoon,bluefor,Infantry,LT Lloyd Hudson,/assets/nato_icons/bluefor/unit_reconnaissance.svg,09f8ee3e-d842-481e-934a-7368c3d478c5,a104f30d-0257-4360-962b-ef86956855f3,/assets/nato_icons/size/bluefor_030.svg,
Gunner,bluefor,Infantry,PTE Ernest Fletcher,/assets/nato_icons/bluefor/unit_infantry.svg,b9058751-e65a-4531-8d7b-544d3986699d,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Gunner,bluefor,Infantry,PTE Justin Hill,/assets/nato_icons/bluefor/unit_infantry.svg,9daff129-790c-49db-bd16-bb8bbfef679e,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Grenadier,bluefor,Infantry,PTE Harry Barrett,/assets/nato_icons/bluefor/unit_infantry.svg,ce3183a9-b384-4c59-8e22-a9a2eb5bb88f,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Grenadier,bluefor,Infantry,PTE Isaac Stokes,/assets/nato_icons/bluefor/unit_infantry.svg,531e4d95-c51c-4f45-9184-5c41ea65b6b0,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Rifleman,bluefor,Infantry,PTE Zachary Floyd,/assets/nato_icons/bluefor/unit_infantry.svg,15d88579-2ac9-4a9c-bc5e-f72740cd0c12,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Rifleman,bluefor,Infantry,PTE Ronald Greene,/assets/nato_icons/bluefor/unit_infantry.svg,b5360827-ab91-48a8-af3b-425e3c67236d,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
Section Commander,bluefor,Infantry,CPL Stephen Castillo,/assets/nato_icons/bluefor/unit_infantry.svg,25f8a19f-2144-4975-bb19-27f246c5ebc4,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,,
1-1,bluefor,Infantry,CPL Stephen Castillo,/assets/nato_icons/bluefor/unit_infantry.svg,67d126d7-dc0c-4d41-b2fc-e6abedc441cd,54743d6d-1fc3-4afc-a8d9-4a2c61988060,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Billy Hanson,/assets/nato_icons/bluefor/unit_infantry.svg,20ae0df6-e115-4be3-becf-d54b6e5d2327,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Gunner,bluefor,Infantry,PTE Jackson Blake,/assets/nato_icons/bluefor/unit_infantry.svg,49ae2402-2501-46b3-b9b6-f0fc1e0aa6c1,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Grenadier,bluefor,Infantry,PTE Adam Benson,/assets/nato_icons/bluefor/unit_infantry.svg,b437d8d0-1bd0-4b15-b0ab-d22165f8a2f9,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Grenadier,bluefor,Infantry,PTE Edwin Morton,/assets/nato_icons/bluefor/unit_infantry.svg,ba26db6d-7527-464a-9f61-183b8fc75209,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Rifleman,bluefor,Infantry,PTE Don Green,/assets/nato_icons/bluefor/unit_infantry.svg,d556c641-8d4b-4a17-b9ab-ef1124d9bc21,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Rifleman,bluefor,Infantry,PTE Nicholas Ball,/assets/nato_icons/bluefor/unit_infantry.svg,eeddaa7e-0e82-4e31-8122-a15d3a0567a2,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
Section Commander,bluefor,Infantry,CPL John Hampton,/assets/nato_icons/bluefor/unit_infantry.svg,b25a7931-9dc8-410b-bb89-a1cbff07d318,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,,
1-2,bluefor,Infantry,CPL John Hampton,/assets/nato_icons/bluefor/unit_infantry.svg,edd5b311-0685-41a4-aea5-bdd1a2f51c8c,54743d6d-1fc3-4afc-a8d9-4a2c61988060,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Zachary Castillo,/assets/nato_icons/bluefor/unit_infantry.svg,8f154ae8-aad7-4e0e-a955-70c0ef25a5f0,cb652361-285a-433c-a74d-f581216f3b7d,,
Gunner,bluefor,Infantry,PTE Luke Wright,/assets/nato_icons/bluefor/unit_infantry.svg,972567ef-f0fb-4e21-8c8e-546c93d34c58,cb652361-285a-433c-a74d-f581216f3b7d,,
Grenadier,bluefor,Infantry,PTE Fred Morrison,/assets/nato_icons/bluefor/unit_infantry.svg,b092217c-f00f-487c-bebb-bf9705914cb5,cb652361-285a-433c-a74d-f581216f3b7d,,
Grenadier,bluefor,Infantry,PTE Gregory Swanson,/assets/nato_icons/bluefor/unit_infantry.svg,cec3430a-1d52-43c3-a128-b2ea4df64a79,cb652361-285a-433c-a74d-f581216f3b7d,,
Rifleman,bluefor,Infantry,PTE Miguel Ortiz,/assets/nato_icons/bluefor/unit_infantry.svg,e5476ddd-1818-46f4-b37e-e13fe160a41e,cb652361-285a-433c-a74d-f581216f3b7d,,
Rifleman,bluefor,Infantry,PTE Nathan Mendoza,/assets/nato_icons/bluefor/unit_infantry.svg,213bbe3c-8f6d-4cfe-8df9-35bd68dae670,cb652361-285a-433c-a74d-f581216f3b7d,,
Section Commander,bluefor,Infantry,CPL Max Barnes,/assets/nato_icons/bluefor/unit_infantry.svg,7d4b0294-0e04-4507-b1dc-c5fc4110bfe0,cb652361-285a-433c-a74d-f581216f3b7d,,
1-3,bluefor,Infantry,CPL Max Barnes,/assets/nato_icons/bluefor/unit_infantry.svg,cb652361-285a-433c-a74d-f581216f3b7d,54743d6d-1fc3-4afc-a8d9-4a2c61988060,/assets/nato_icons/size/bluefor_020.svg,
1st Platoon,bluefor,Infantry,LT Duane McCarthy,/assets/nato_icons/bluefor/unit_infantry.svg,54743d6d-1fc3-4afc-a8d9-4a2c61988060,a104f30d-0257-4360-962b-ef86956855f3,/assets/nato_icons/size/bluefor_030.svg,
Gunner,bluefor,Infantry,PTE Leonard Gilbert,/assets/nato_icons/bluefor/unit_infantry.svg,190e2069-de91-42f2-96bc-e2a1d09e6d93,0a0e28b8-ef1c-4f26-bf9b-58325f60e016,,
